Date,y,,
2023-01-02,261883481.8,,
2023-01-03,242356482,,
2023-01-04,266083690,,
2023-01-05,305064103.2,,
2023-01-06,260999288.3,,
2023-01-07,259304487.7,,
2023-01-08,257609687.2,,
2023-01-09,286421296.9,,
2023-01-10,249135684.3,,
2023-01-11,255914886.6,,
2023-01-12,269473291.2,,
2023-01-13,289810898.1,,
2023-01-14,280250606.8,,
2023-01-15,274688843.2,,
2023-01-16,291506527.5,,
2023-01-17,261608422.1,,
2023-01-18,270951580.1,,
2023-01-19,246659369.4,,
2023-01-20,257871159,,
2023-01-21,282163369.6,,
2023-01-22,295243790.7,,
2023-01-23,241053474.7,,
2023-01-24,327010527.7,,
2023-01-25,289637895.9,,
2023-01-26,287769264.4,,
2023-01-27,313930106.6,,
2023-01-28,311001352.8,,
2023-01-29,269948142.5,,
2023-01-30,224956785.4,,
2023-01-31,267991996.6,,
2023-02-01,283641164.2,,
2023-02-02,260167412.7,,
2023-02-03,266035850.6,,
2023-02-04,297334186,,
2023-02-05,289509602.1,,
2023-02-06,277772726.4,,
2023-02-07,269948142.5,,
2023-02-08,316895645.6,,
2023-02-09,287553456.2,,
2023-02-10,291465748.1,,
2023-02-11,313943411.8,,
2023-02-12,303650131.9,,
2023-02-13,299757181.5,,
2023-02-14,317275458.4,,
2023-02-15,348419061.6,,
2023-02-16,321168408.8,,
2023-02-17,327007834.4,,
2023-02-18,315328983.2,,
2023-02-19,286131855.1,,
2023-02-20,325061359.2,,
2023-02-21,272506528.7,,
2023-02-22,332847260,,
2023-02-23,262774152.6,,
2023-02-24,227840889.8,,
2023-02-25,359556658.2,,
2023-02-26,299630548.5,,
2023-02-27,293209893.9,,
2023-02-28,363837094.6,,
2023-03-01,308191421.3,,
2023-03-02,359556658.2,,
2023-03-03,325313166.9,,
2023-03-04,331733821.5,,
2023-03-05,282508802.9,,
2023-03-06,353136003.6,,
2023-03-07,284649021.1,,
2023-03-08,288929457.5,,
2023-03-09,291564668.7,,
2023-03-10,357219695.9,,
2023-03-11,348559824.5,,
2023-03-12,339899953.1,,
2023-03-13,316085306.7,,
2023-03-14,318250274.5,,
2023-03-15,290105692.4,,
2023-03-16,318250274.5,,
2023-03-17,350724792.4,,
2023-03-18,320415242.4,,
2023-03-19,333405049.5,,
2023-03-20,313920338.8,,
2023-03-21,344229888.8,,
2023-03-22,398152679.7,,
2023-03-23,377232885.5,,
2023-03-24,337646718.5,,
2023-03-25,335318120.4,,
2023-03-26,344632512.7,,
2023-03-27,312032139.9,,
2023-03-28,342303914.6,,
2023-03-29,360932699.1,,
2023-03-30,328332326.3,,
2023-03-31,326003728.2,,
2023-04-01,346961110.7,,
2023-04-02,305046345.7,,
2023-04-03,377232885.5,,
2023-04-04,323675130.1,,
2023-04-05,375327217.2,,
2023-04-06,338032942.2,,
2023-04-07,349935510.6,,
2023-04-08,347554996.9,,
2023-04-09,292803182.3,,
2023-04-10,366599106.3,,
2023-04-11,380882188.4,,
2023-04-12,338032942.2,,
2023-04-13,333271914.8,,
2023-04-14,376121161,,
2023-04-15,295183696,,
2023-04-16,368979620,,
2023-04-17,395165270.4,,
2023-04-18,330891401.1,,
2023-04-19,319313867.4,,
2023-04-20,351118491,,
2023-04-21,360804518.3,,
2023-04-22,355961504.6,,
2023-04-23,341432463.6,,
2023-04-24,302688354.3,,
2023-04-25,314795888.5,,
2023-04-26,314795888.5,,
2023-04-27,355961504.6,,
